time,chlorophyll
2010-06-30,6.3351326
2010-07-31,1.5845357
2010-08-31,9.326945
2010-09-30,4.8767014
2010-10-31,6.0700226
2010-11-30,8.388723
2010-12-31,3.292046
2011-01-31,3.5240655
2011-02-28,4.965287
2011-03-31,4.088485
2011-04-30,9.736814
2011-05-31,5.647129
2011-06-30,8.723491
2011-07-31,2.7533646
2011-08-31,9.811855
2011-09-30,5.9094567
2011-10-31,7.9037323
2011-11-30,3.5721786
2011-12-31,2.6566458
2012-01-31,1.6413531
2012-02-29,4.399717
2012-03-31,3.3395662
2012-04-30,6.5706034
2012-05-31,2.9041133
2012-06-30,6.5313807
2012-07-31,6.0843234
2012-08-31,3.248367
2012-09-30,2.685351
2012-10-31,6.966997
2012-11-30,4.5776834
2012-12-31,1.601597
2013-01-31,6.7563505
2013-02-28,6.40111
2013-03-31,15.71921
2013-04-30,13.036767
2013-05-31,12.788847
2013-06-30,15.914578
2013-07-31,3.2508469
2013-08-31,8.213148
2013-09-30,19.571194
2013-10-31,15.502209
2013-11-30,3.2647858
2013-12-31,1.5165966
2014-01-31,1.1278747
2014-02-28,1.6764692
2014-03-31,8.137168
2014-04-30,16.472967
2014-05-31,15.959159
2014-06-30,7.518402
2014-07-31,3.8300433
2014-08-31,2.1122696
2014-09-30,1.9302092
2014-10-31,1.4698539
2014-11-30,1.6010853
2014-12-31,1.1192721
2015-01-31,0.8903566
2015-02-28,2.2819493
2015-03-31,15.723993
2015-04-30,18.52197
2015-05-31,4.385214
2015-06-30,7.0276246
2015-07-31,1.9260197
2015-08-31,3.4574716
2015-09-30,4.052465
2015-10-31,1.4183648
2015-11-30,3.1145942
2015-12-31,1.074548
2016-01-31,1.0420457
2016-02-29,2.657604
2016-03-31,7.4795537
2016-04-30,9.856786
2016-05-31,4.5671434
2016-06-30,12.061041
2016-07-31,7.897428
2016-08-31,5.296749
2016-09-30,10.039262
2016-10-31,14.727885
2016-11-30,5.5833745
2016-12-31,2.729846
2017-01-31,2.606084
2017-02-28,1.9468576
2017-03-31,8.198668
2017-04-30,8.608268
2017-05-31,5.7078624
2017-06-30,6.7962995
2017-07-31,6.546804
2017-08-31,3.8251493
2017-09-30,5.3621163
2017-10-31,8.86141
2017-11-30,4.0009985
2017-12-31,2.8908172
2018-01-31,3.7517793
2018-02-28,3.5807002
2018-03-31,4.3725805
2018-04-30,5.174591
2018-05-31,4.7516127
2018-06-30,6.6116023
2018-07-31,3.786287
2018-08-31,5.8350277
2018-09-30,8.138781
2018-10-31,4.4752545
2018-11-30,2.6528726
2018-12-31,1.0392486
